mood_happy,mood_sad,mood_aggressive,mood_relaxed,mood_party,added_at
0.5111,0.2947,0.8652,0.5911,0.519,2025-06-14 20:59
0.515,0.2907,0.8601,0.5902,0.5259,2025-06-15 00:19
0.5095,0.2743,0.8517,0.5773,0.542,2025-06-15 00:27
0.5148,0.2797,0.8438,0.5754,0.5493,2025-06-15 00:37
0.514,0.2876,0.845,0.5802,0.5343,2025-06-16 17:41
0.5066,0.2869,0.844,0.5665,0.545,2025-06-18 22:30
0.4997,0.2817,0.8175,0.5522,0.5484,2025-06-19 01:08
0.5073,0.2831,0.8171,0.5524,0.5516,2025-06-19 19:41
0.5154,0.2713,0.8079,0.5423,0.5595,2025-06-20 07:05
0.5192,0.2615,0.793,0.5241,0.5753,2025-06-20 17:11
0.5191,0.2478,0.7859,0.5037,0.5878,2025-06-21 07:33
0.5257,0.2482,0.7851,0.5034,0.593,2025-06-21 11:08
0.5101,0.2479,0.7924,0.4989,0.5923,2025-06-21 11:50
0.5135,0.247,0.787,0.4995,0.5852,2025-06-24 08:32
0.5132,0.2494,0.7973,0.5073,0.5827,2025-06-24 19:22
0.5214,0.2378,0.7792,0.4943,0.6008,2025-06-26 08:54
0.5057,0.2256,0.7595,0.4778,0.6264,2025-06-26 21:08
0.4969,0.2271,0.739,0.4671,0.6271,2025-06-26 21:13
0.5016,0.2268,0.7414,0.4662,0.6269,2025-06-26 23:08
0.5099,0.2293,0.7538,0.4817,0.621,2025-06-26 23:30
